date, value
5/1/75,9
6/1/75,8.8
7/1/75,8.6
8/1/75,8.4
9/1/75,8.4
10/1/75,8.4
11/1/75,8.3
12/1/75,8.2
1/1/76,7.9
2/1/76,7.7
3/1/76,7.6
4/1/76,7.7
5/1/76,7.4
6/1/76,7.6
7/1/76,7.8
8/1/76,7.8
9/1/76,7.6
10/1/76,7.7
11/1/76,7.8
12/1/76,7.8
1/1/77,7.5
2/1/77,7.6
3/1/77,7.4
4/1/77,7.2
5/1/77,7
6/1/77,7.2
7/1/77,6.9
8/1/77,7
9/1/77,6.8
10/1/77,6.8
11/1/77,6.8
12/1/77,6.4
1/1/78,6.4
2/1/78,6.3
3/1/78,6.3
4/1/78,6.1
5/1/78,6
6/1/78,5.9
7/1/78,6.2
8/1/78,5.9
9/1/78,6
10/1/78,5.8
11/1/78,5.9
12/1/78,6
1/1/79,5.9
2/1/79,5.9
3/1/79,5.8
4/1/79,5.8
5/1/79,5.6
6/1/79,5.7
7/1/79,5.7
8/1/79,6
9/1/79,5.9
10/1/79,6
11/1/79,5.9
12/1/79,6
1/1/80,6.3
2/1/80,6.3
3/1/80,6.3
4/1/80,6.9
5/1/80,7.5
6/1/80,7.6
7/1/80,7.8
8/1/80,7.7
9/1/80,7.5
10/1/80,7.5
11/1/80,7.5
12/1/80,7.2
1/1/81,7.5
2/1/81,7.4
3/1/81,7.4
4/1/81,7.2
5/1/81,7.5
6/1/81,7.5
7/1/81,7.2
8/1/81,7.4
9/1/81,7.6
10/1/81,7.9
11/1/81,8.3
12/1/81,8.5
1/1/82,8.6
2/1/82,8.9
3/1/82,9
4/1/82,9.3
5/1/82,9.4
6/1/82,9.6
7/1/82,9.8
8/1/82,9.8
9/1/82,10.1
10/1/82,10.4
11/1/82,10.8
12/1/82,10.8
1/1/83,10.4
2/1/83,10.4
3/1/83,10.3
4/1/83,10.2
5/1/83,10.1
6/1/83,10.1
7/1/83,9.4
8/1/83,9.5
9/1/83,9.2
10/1/83,8.8
11/1/83,8.5
12/1/83,8.3
1/1/84,8
2/1/84,7.8
3/1/84,7.8
4/1/84,7.7
5/1/84,7.4
6/1/84,7.2
7/1/84,7.5
8/1/84,7.5
9/1/84,7.3
10/1/84,7.4
11/1/84,7.2
12/1/84,7.3
1/1/85,7.3
2/1/85,7.2
3/1/85,7.2
4/1/85,7.3
5/1/85,7.2
6/1/85,7.4
7/1/85,7.4
8/1/85,7.1
9/1/85,7.1
10/1/85,7.1
11/1/85,7
12/1/85,7
1/1/86,6.7
2/1/86,7.2
3/1/86,7.2
4/1/86,7.1
5/1/86,7.2
6/1/86,7.2
7/1/86,7
8/1/86,6.9
9/1/86,7
10/1/86,7
11/1/86,6.9
12/1/86,6.6
1/1/87,6.6
2/1/87,6.6
3/1/87,6.6
4/1/87,6.3
5/1/87,6.3
6/1/87,6.2
7/1/87,6.1
8/1/87,6
9/1/87,5.9
10/1/87,6
11/1/87,5.8
12/1/87,5.7
1/1/88,5.7
2/1/88,5.7
3/1/88,5.7
4/1/88,5.4
5/1/88,5.6
6/1/88,5.4
7/1/88,5.4
8/1/88,5.6
9/1/88,5.4
10/1/88,5.4
11/1/88,5.3
12/1/88,5.3
1/1/89,5.4
2/1/89,5.2
3/1/89,5
4/1/89,5.2
5/1/89,5.2
6/1/89,5.3
7/1/89,5.2
8/1/89,5.2
9/1/89,5.3
10/1/89,5.3
11/1/89,5.4
12/1/89,5.4
1/1/90,5.4
2/1/90,5.3
3/1/90,5.2
4/1/90,5.4
5/1/90,5.4
6/1/90,5.2
7/1/90,5.5
8/1/90,5.7
9/1/90,5.9
10/1/90,5.9
11/1/90,6.2
12/1/90,6.3
1/1/91,6.4
2/1/91,6.6
3/1/91,6.8
4/1/91,6.7
5/1/91,6.9
6/1/91,6.9
7/1/91,6.8
8/1/91,6.9
9/1/91,6.9
10/1/91,7
11/1/91,7
12/1/91,7.3
1/1/92,7.3
2/1/92,7.4
3/1/92,7.4
4/1/92,7.4
5/1/92,7.6
6/1/92,7.8
7/1/92,7.7
8/1/92,7.6
9/1/92,7.6
10/1/92,7.3
11/1/92,7.4
12/1/92,7.4
1/1/93,7.3
2/1/93,7.1
3/1/93,7
4/1/93,7.1
5/1/93,7.1
6/1/93,7
7/1/93,6.9
8/1/93,6.8
9/1/93,6.7
10/1/93,6.8
11/1/93,6.6
12/1/93,6.5
1/1/94,6.6
2/1/94,6.6
3/1/94,6.5
4/1/94,6.4
5/1/94,6.1
6/1/94,6.1
7/1/94,6.1
8/1/94,6
9/1/94,5.9
10/1/94,5.8
11/1/94,5.6
12/1/94,5.5
1/1/95,5.6
2/1/95,5.4
3/1/95,5.4
4/1/95,5.8
5/1/95,5.6
6/1/95,5.6
7/1/95,5.7
8/1/95,5.7
9/1/95,5.6
10/1/95,5.5
11/1/95,5.6
12/1/95,5.6
1/1/96,5.6
2/1/96,5.5
3/1/96,5.5
4/1/96,5.6
5/1/96,5.6
6/1/96,5.3
7/1/96,5.5
8/1/96,5.1
9/1/96,5.2
10/1/96,5.2
11/1/96,5.4
12/1/96,5.4
1/1/97,5.3
2/1/97,5.2
3/1/97,5.2
4/1/97,5.1
5/1/97,4.9
6/1/97,5
7/1/97,4.9
8/1/97,4.8
9/1/97,4.9
10/1/97,4.7
11/1/97,4.6
12/1/97,4.7
1/1/98,4.6
2/1/98,4.6
3/1/98,4.7
4/1/98,4.3
5/1/98,4.4
6/1/98,4.5
7/1/98,4.5
8/1/98,4.5
9/1/98,4.6
10/1/98,4.5
11/1/98,4.4
12/1/98,4.4
1/1/99,4.3
2/1/99,4.4
3/1/99,4.2
4/1/99,4.3
5/1/99,4.2
6/1/99,4.3
7/1/99,4.3
8/1/99,4.2
9/1/99,4.2
10/1/99,4.1
11/1/99,4.1
12/1/99,4
1/1/00,4
2/1/00,4.1
3/1/00,4
4/1/00,3.8
5/1/00,4
6/1/00,4
7/1/00,4
8/1/00,4.1
9/1/00,3.9
10/1/00,3.9
11/1/00,3.9
12/1/00,3.9
1/1/01,4.2
2/1/01,4.2
3/1/01,4.3
4/1/01,4.4
5/1/01,4.3
6/1/01,4.5
7/1/01,4.6
8/1/01,4.9
9/1/01,5
10/1/01,5.3
11/1/01,5.5
12/1/01,5.7
1/1/02,5.7
2/1/02,5.7
3/1/02,5.7
4/1/02,5.9
5/1/02,5.8
6/1/02,5.8
7/1/02,5.8
8/1/02,5.7
9/1/02,5.7
10/1/02,5.7
11/1/02,5.9
12/1/02,6
1/1/03,5.8
2/1/03,5.9
3/1/03,5.9
4/1/03,6
5/1/03,6.1
6/1/03,6.3
7/1/03,6.2
8/1/03,6.1
9/1/03,6.1
10/1/03,6
11/1/03,5.8
12/1/03,5.7
1/1/04,5.7
2/1/04,5.6
3/1/04,5.8
4/1/04,5.6
5/1/04,5.6
6/1/04,5.6
7/1/04,5.5
8/1/04,5.4
9/1/04,5.4
10/1/04,5.5
11/1/04,5.4
12/1/04,5.4
1/1/05,5.3
2/1/05,5.4
3/1/05,5.2
4/1/05,5.2
5/1/05,5.1
6/1/05,5
7/1/05,5
8/1/05,4.9
9/1/05,5
10/1/05,5
11/1/05,5
12/1/05,4.9
1/1/06,4.7
2/1/06,4.8
3/1/06,4.7
4/1/06,4.7
5/1/06,4.6
6/1/06,4.6
7/1/06,4.7
8/1/06,4.7
9/1/06,4.5
10/1/06,4.4
11/1/06,4.5
12/1/06,4.4
1/1/07,4.6
2/1/07,4.5
3/1/07,4.4
4/1/07,4.5
5/1/07,4.4
6/1/07,4.6
7/1/07,4.7
8/1/07,4.6
9/1/07,4.7
10/1/07,4.7
11/1/07,4.7
12/1/07,5
1/1/08,5
2/1/08,4.9
3/1/08,5.1
4/1/08,5
5/1/08,5.4
6/1/08,5.6
7/1/08,5.8
8/1/08,6.1
9/1/08,6.1
10/1/08,6.5
11/1/08,6.8
12/1/08,7.3
1/1/09,7.8
2/1/09,8.3
3/1/09,8.7
4/1/09,9
5/1/09,9.4
6/1/09,9.5
7/1/09,9.5
8/1/09,9.6
9/1/09,9.8
10/1/09,10
11/1/09,9.9
12/1/09,9.9
1/1/10,9.8
2/1/10,9.8
3/1/10,9.9
4/1/10,9.9
5/1/10,9.6
6/1/10,9.4
7/1/10,9.4
8/1/10,9.5
9/1/10,9.5
10/1/10,9.4
11/1/10,9.8
12/1/10,9.3
1/1/11,9.1
2/1/11,9
3/1/11,9
4/1/11,9.1
5/1/11,9
6/1/11,9.1
7/1/11,9
8/1/11,9
9/1/11,9
10/1/11,8.8
11/1/11,8.6
12/1/11,8.5
1/1/12,8.3
2/1/12,8.3
3/1/12,8.2
4/1/12,8.2
5/1/12,8.2
6/1/12,8.2
7/1/12,8.2
8/1/12,8.1
9/1/12,7.8
10/1/12,7.8
11/1/12,7.7
12/1/12,7.9
1/1/13,8
2/1/13,7.7
3/1/13,7.5
4/1/13,7.6
5/1/13,7.5
6/1/13,7.5
7/1/13,7.3
8/1/13,7.2
9/1/13,7.2
10/1/13,7.2
11/1/13,6.9
12/1/13,6.7
1/1/14,6.6
2/1/14,6.7
3/1/14,6.7
4/1/14,6.2
5/1/14,6.3
6/1/14,6.1
7/1/14,6.2
8/1/14,6.1
9/1/14,5.9
10/1/14,5.7
11/1/14,5.8
12/1/14,5.6
1/1/15,5.7
2/1/15,5.5
3/1/15,5.4
4/1/15,5.4
5/1/15,5.6
6/1/15,5.3
7/1/15,5.2
8/1/15,5.1
9/1/15,5
10/1/15,5
11/1/15,5.1
12/1/15,5
1/1/16,4.9
2/1/16,4.9
3/1/16,5
4/1/16,5
